,name,m,lambda_r,epsilon,sigma
246,"1,1,1,2,3-pentafluoropropane",6,8.91835681104,113.716446459,2.67302380514e-10
247,"1,1,1,2-tetrachloro-2,2-difluoroethane",1,54.428374138,702.810353279,5.88043242049e-10
248,"1,1,1,2-tetrachloro-2,2-difluoroethane",2,16.4066951455,377.515022409,4.37330804234e-10
249,"1,1,1,2-tetrachloro-2,2-difluoroethane",3,11.5997931826,256.908062957,3.72763611738e-10
250,"1,1,1,2-tetrachloro-2,2-difluoroethane",4,9.83539512517,198.983596157,3.32042867013e-10
251,"1,1,1,2-tetrachloro-2,2-difluoroethane",5,8.79340977544,162.758372519,3.02592559269e-10
252,"1,1,1,2-tetrachloro-2,2-difluoroethane",6,8.1015496928,137.910671695,2.7988858553e-10
253,"1,1,1,2-tetrachloro-2-fluoroethane",1,63.6313875847,782.953254271,6.00628399475e-10
254,"1,1,1,2-tetrachloro-2-fluoroethane",2,18.5070908447,435.373031484,4.46114828244e-10
255,"1,1,1,2-tetrachloro-2-fluoroethane",3,12.4320628768,293.99891729,3.79748286677e-10
256,"1,1,1,2-tetrachloro-2-fluoroethane",4,10.4013334259,227.644313297,3.38275633299e-10
257,"1,1,1,2-tetrachloro-2-fluoroethane",5,9.22306790515,186.266242089,3.08396696701e-10
258,"1,1,1,2-tetrachloro-2-fluoroethane",6,8.44574955183,157.809753787,2.8528108832e-10
259,"1,1,1,2-tetrachloroethane",1,50.76091376,784.188549401,5.69988581596e-10
260,"1,1,1,2-tetrachloroethane",2,15.563195405,414.416393913,4.24283865151e-10
261,"1,1,1,2-tetrachloroethane",3,11.237854615,283.025159766,3.61800123716e-10
262,"1,1,1,2-tetrachloroethane",4,9.5836166835,219.17121294,3.22252331506e-10
263,"1,1,1,2-tetrachloroethane",5,8.60135877036,179.252089572,2.93609019391e-10
264,"1,1,1,2-tetrachloroethane",6,7.94702313131,151.902988651,2.71576627991e-10
265,"1,1,1,2-tetrachloropropane",1,60.8232643543,839.774458501,6.15337485432e-10
266,"1,1,1,2-tetrachloropropane",2,17.8710409858,462.504625649,4.57149347164e-10
267,"1,1,1,2-tetrachloropropane",3,12.1890724626,312.974521352,3.89322786641e-10
268,"1,1,1,2-tetrachloropropane",4,10.2380297186,242.382035657,3.46807624957e-10
269,"1,1,1,2-tetrachloropropane",5,9.09936488833,198.3025077,3.1614106939e-10
270,"1,1,1,2-tetrachloropropane",6,8.34686637011,168.011091995,2.92435806146e-10
271,"1,1,1,2-tetrafluoroethane",1,78.0729682254,504.828176119,4.94324480978e-10
272,"1,1,1,2-tetrafluoroethane",2,21.6384183207,291.413726364,3.67155640288e-10
273,"1,1,1,2-tetrafluoroethane",3,13.5470719162,195.598980425,3.11670532821e-10
274,"1,1,1,2-tetrafluoroethane",4,11.1293928973,151.188365355,2.77577792378e-10
275,"1,1,1,2-tetrafluoroethane",5,9.77209930682,123.781927883,2.53163747471e-10
276,"1,1,1,2-tetrafluoroethane",6,8.88248414486,104.868601883,2.34231590407e-10
277,"1,1,1,2-tetrafluoropropane",1,59.9285887249,537.170898303,5.4112634872e-10
278,"1,1,1,2-tetrafluoropropane",2,17.6672548382,294.890519162,4.02057712186e-10
279,"1,1,1,2-tetrafluoropropane",3,12.1096887469,199.695233251,3.42451731614e-10
280,"1,1,1,2-tetrafluoropropane",4,10.1843299386,154.659996137,3.05054965076e-10
281,"1,1,1,2-tetrafluoropropane",5,9.05863928415,126.529101458,2.78070158694e-10
282,"1,1,1,2-tetrafluoropropane",6,8.31427366663,107.202364945,2.57217211353e-10
283,"1,1,1,2-tetraiodoethane",1,46.7857811402,1202.07110507,6.64868243892e-10
284,"1,1,1,2-tetraiodoethane",2,14.6508614993,623.130762707,4.95494502286e-10
285,"1,1,1,2-tetraiodoethane",3,10.8244834311,427.204991176,4.22743578466e-10
286,"1,1,1,2-tetraiodoethane",4,9.29207868024,330.668113531,3.76480485967e-10
287,"1,1,1,2-tetraiodoethane",5,8.37824245891,270.42219805,3.4292488833e-10
288,"1,1,1,2-tetraiodoethane",6,7.76698536847,229.205703861,3.17197994745e-10
289,"1,1,1,2-tetraiodopropane",1,50.0681740068,1243.48920216,6.82771255809e-10
290,"1,1,1,2-tetraiodopropane",2,15.4039609136,655.016109704,5.08332653887e-10
291,"1,1,1,2-tetraiodopropane",3,11.1674246749,447.645768089,4.33508293266e-10
292,"1,1,1,2-tetraiodopropane",4,9.53423990673,346.630584699,3.86114496127e-10
293,"1,1,1,2-tetraiodopropane",5,8.56362686046,283.491891139,3.51779536453e-10
294,"1,1,1,2-tetraiodopropane",6,7.9166151662,240.244965407,3.25382306003e-10
295,"1,1,1,3,3,3-hexafluoropropane",1,75.4573816122,546.247329818,5.71574077854e-10
296,"1,1,1,3,3,3-hexafluoropropane",2,21.093292347,313.612571358,4.24498970525e-10
297,"1,1,1,3,3,3-hexafluoropropane",3,13.36057308,210.611389105,3.60527746047e-10
